ID;Especie;País;Código_ISO_Alpha3
1;Guanacaste;Costa Rica;CRI
2;Guachipelín;Costa Rica;CRI
3;Roble sabana;Costa Rica;CRI
4;Corteza amarilla;Costa Rica;CRI
5;Almendro de montaña;Costa Rica;CRI
6;Ceiba;Guatemala;GTM
7;Matilisguate;Guatemala;GTM
8;Pinabete;Guatemala;GTM
9;Caoba;Belice;BLZ
10;Santa María;Belice;BLZ
11;Bálsamo;El Salvador;SLV
12;Maquilishuat;El Salvador;SLV
13;Pino ocote;Honduras;HND
14;Liquidámbar;Honduras;HND
15;Madroño;Nicaragua;NIC
16;Genízaro;Nicaragua;NIC
17;Árbol Panamá;Panamá;PAN
18;Espavé;Panamá;PAN
19;Palma real;Cuba;CUB
20;Jagüey;Cuba;CUB
21;Caoba dominicana;República Dominicana;DOM
22;Pino criollo;República Dominicana;DOM
23;Guayacán;Puerto Rico;PRI
24;Ausubo;Puerto Rico;PRI
25;Ahuehuete;México;MEX
26;Oyamel;México;MEX
27;Mezquite;México;MEX
28;Copal;México;MEX
29;Sabino;México;MEX
30;Arce azucarero;Canadá;CAN
31;Abeto balsámico;Canadá;CAN
32;Cedro rojo occidental;Canadá;CAN
33;Secuoya gigante;Estados Unidos;USA
34;Secuoya roja;Estados Unidos;USA
35;Pino ponderosa;Estados Unidos;USA
36;Roble blanco;Estados Unidos;USA
37;Nogal negro;Estados Unidos;USA
38;Araucaria;Chile;CHL
39;Alerce patagónico;Chile;CHL
40;Coigüe;Chile;CHL
41;Lenga;Argentina;ARG
42;Quebracho colorado;Argentina;ARG
43;Ombú;Argentina;ARG
44;Lapacho rosado;Paraguay;PRY
45;Palo santo;Paraguay;PRY
46;Tajibo;Bolivia;BOL
47;Queñua;Bolivia;BOL
48;Árbol de la quina;Perú;PER
49;Algarrobo peruano;Perú;PER
50;Cedro andino;Ecuador;ECU
51;Arrayán;Ecuador;ECU
52;Palma de cera;Colombia;COL
53;Guayacán amarillo;Colombia;COL
54;Araguaney;Venezuela;VEN
55;Samán;Venezuela;VEN
56;Pau-brasil;Brasil;BRA
57;Castaño de Brasil;Brasil;BRA
58;Caucho amazónico;Brasil;BRA
59;Ipê amarillo;Brasil;BRA
60;Alcornoque;Portugal;PRT
61;Olivo;España;ESP
62;Encina;España;ESP
63;Haya europea;Alemania;DEU
64;Roble inglés;Reino Unido;GBR
65;Fresno europeo;Irlanda;IRL
66;Abedul plateado;Finlandia;FIN
67;Abeto rojo;Noruega;NOR
68;Pino silvestre;Suecia;SWE
69;Tilo europeo;República Checa;CZE
70;Castaño europeo;Italia;ITA
71;Plátano de sombra;Francia;FRA
72;Cedro del Líbano;Líbano;LBN
73;Olivo de Anatolia;Turquía;TUR
74;Cedro del Atlas;Marruecos;MAR
75;Argán;Marruecos;MAR
76;Baobab africano;Senegal;SEN
77;Acacia de sombrilla;Kenia;KEN
78;Ébano africano;Tanzania;TZA
79;Marula;Sudáfrica;ZAF
80;Mopane;Zimbabue;ZWE
81;Baobab de Madagascar;Madagascar;MDG
82;Sicomoro;Egipto;EGY
83;Cedro del Himalaya;India;IND
84;Baniano;India;IND
85;Neem;India;IND
86;Árbol de sal;India;IND
87;Teca;Myanmar;MMR
88;Dipterocarpus;Malasia;MYS
89;Meranti rojo;Indonesia;IDN
90;Árbol de caucho;Indonesia;IDN
91;Bodhi;Sri Lanka;LKA
92;Pino rojo japonés;Japón;JPN
93;Cerezo japonés;Japón;JPN
94;Ginkgo;China;CHN
95;Secuoya del amanecer;China;CHN
