ID;Especie;País
1;Guanacaste;Costa Rica
2;Guachipelín;Costa Rica
3;Roble sabana;Costa Rica
4;Corteza amarilla;Costa Rica
5;Almendro de montaña;Costa Rica
6;Ceiba;Guatemala
7;Matilisguate;Guatemala
8;Pinabete;Guatemala
9;Caoba;Belice
10;Santa María;Belice
11;Bálsamo;El Salvador
12;Maquilishuat;El Salvador
13;Pino ocote;Honduras
14;Liquidámbar;Honduras
15;Madroño;Nicaragua
16;Genízaro;Nicaragua
17;Árbol Panamá;Panamá
18;Espavé;Panamá
19;Palma real;Cuba
20;Jagüey;Cuba
21;Caoba dominicana;República Dominicana
22;Pino criollo;República Dominicana
23;Guayacán;Puerto Rico
24;Ausubo;Puerto Rico
25;Ahuehuete;México
26;Oyamel;México
27;Mezquite;México
28;Copal;México
29;Sabino;México
30;Arce azucarero;Canadá
31;Abeto balsámico;Canadá
32;Cedro rojo occidental;Canadá
33;Secuoya gigante;Estados Unidos
34;Secuoya roja;Estados Unidos
35;Pino ponderosa;Estados Unidos
36;Roble blanco;Estados Unidos
37;Nogal negro;Estados Unidos
38;Araucaria;Chile
39;Alerce patagónico;Chile
40;Coigüe;Chile
41;Lenga;Argentina
42;Quebracho colorado;Argentina
43;Ombú;Argentina
44;Lapacho rosado;Paraguay
45;Palo santo;Paraguay
46;Tajibo;Bolivia
47;Queñua;Bolivia
48;Árbol de la quina;Perú
49;Algarrobo peruano;Perú
50;Cedro andino;Ecuador
51;Arrayán;Ecuador
52;Palma de cera;Colombia
53;Guayacán amarillo;Colombia
54;Araguaney;Venezuela
55;Samán;Venezuela
56;Pau-brasil;Brasil
57;Castaño de Brasil;Brasil
58;Caucho amazónico;Brasil
59;Ipê amarillo;Brasil
60;Alcornoque;Portugal
61;Olivo;España
62;Encina;España
63;Haya europea;Alemania
64;Roble inglés;Reino Unido
65;Fresno europeo;Irlanda
66;Abedul plateado;Finlandia
67;Abeto rojo;Noruega
68;Pino silvestre;Suecia
69;Tilo europeo;República Checa
70;Castaño europeo;Italia
71;Plátano de sombra;Francia
72;Cedro del Líbano;Líbano
73;Olivo de Anatolia;Turquía
74;Cedro del Atlas;Marruecos
75;Argán;Marruecos
76;Baobab africano;Senegal
77;Acacia de sombrilla;Kenia
78;Ébano africano;Tanzania
79;Marula;Sudáfrica
80;Mopane;Zimbabue
81;Baobab de Madagascar;Madagascar
82;Sicomoro;Egipto
83;Cedro del Himalaya;India
84;Baniano;India
85;Neem;India
86;Árbol de sal;India
87;Teca;Myanmar
88;Dipterocarpus;Malasia
89;Meranti rojo;Indonesia
90;Árbol de caucho;Indonesia
91;Bodhi;Sri Lanka
92;Pino rojo japonés;Japón
93;Cerezo japonés;Japón
94;Ginkgo;China
95;Secuoya del amanecer;China
96;Paulownia;China
97;Pino coreano;Corea del Sur
98;Eucalipto azul;Australia
99;Acacia dorada;Australia
100;Kauri;Nueva Zelanda
101;Guanacaste;Costa Rica
102;Guachipelín;Costa Rica
103;Roble sabana;Costa Rica
104;Corteza amarilla;Costa Rica
105;Almendro de montaña;Costa Rica
106;Ceiba;Guatemala
107;Matilisguate;Guatemala
108;Pinabete;Guatemala
109;Caoba;Belice
110;Santa María;Belice
111;Bálsamo;El Salvador
112;Maquilishuat;El Salvador
113;Pino ocote;Honduras
114;Liquidámbar;Honduras
115;Madroño;Nicaragua
116;Genízaro;Nicaragua
117;Árbol Panamá;Panamá
118;Espavé;Panamá
119;Palma real;Cuba
120;Jagüey;Cuba
121;Caoba dominicana;República Dominicana
122;Pino criollo;República Dominicana
123;Guayacán;Puerto Rico
124;Ausubo;Puerto Rico
125;Ahuehuete;México
126;Oyamel;México
127;Mezquite;México
128;Copal;México
129;Sabino;México
130;Arce azucarero;Canadá
131;Abeto balsámico;Canadá
132;Cedro rojo occidental;Canadá
133;Secuoya gigante;Estados Unidos
134;Secuoya roja;Estados Unidos
135;Pino ponderosa;Estados Unidos
136;Roble blanco;Estados Unidos
137;Nogal negro;Estados Unidos
138;Araucaria;Chile
139;Alerce patagónico;Chile
140;Coigüe;Chile
141;Lenga;Argentina
142;Quebracho colorado;Argentina
143;Ombú;Argentina
144;Lapacho rosado;Paraguay
145;Palo santo;Paraguay
146;Tajibo;Bolivia
147;Queñua;Bolivia
148;Árbol de la quina;Perú
149;Algarrobo peruano;Perú
150;Cedro andino;Ecuador
151;Arrayán;Ecuador
152;Palma de cera;Colombia
153;Guayacán amarillo;Colombia
154;Araguaney;Venezuela
155;Samán;Venezuela
156;Pau-brasil;Brasil
157;Castaño de Brasil;Brasil
158;Caucho amazónico;Brasil
159;Ipê amarillo;Brasil
160;Alcornoque;Portugal
161;Olivo;España
162;Encina;España
163;Haya europea;Alemania
164;Roble inglés;Reino Unido
165;Fresno europeo;Irlanda
166;Abedul plateado;Finlandia
167;Abeto rojo;Noruega
168;Pino silvestre;Suecia
169;Tilo europeo;República Checa
170;Castaño europeo;Italia
171;Plátano de sombra;Francia
172;Cedro del Líbano;Líbano
173;Olivo de Anatolia;Turquía
174;Cedro del Atlas;Marruecos
175;Argán;Marruecos
176;Baobab africano;Senegal
177;Acacia de sombrilla;Kenia
178;Ébano africano;Tanzania
179;Marula;Sudáfrica
180;Mopane;Zimbabue
181;Baobab de Madagascar;Madagascar
182;Sicomoro;Egipto
183;Cedro del Himalaya;India
184;Baniano;India
185;Neem;India
186;Árbol de sal;India
187;Teca;Myanmar
188;Dipterocarpus;Malasia
189;Meranti rojo;Indonesia
190;Árbol de caucho;Indonesia
191;Bodhi;Sri Lanka
192;Pino rojo japonés;Japón
193;Cerezo japonés;Japón
194;Ginkgo;China
195;Secuoya del amanecer;China
196;Paulownia;China
197;Pino coreano;Corea del Sur
198;Eucalipto azul;Australia
199;Acacia dorada;Australia
200;Kauri;Nueva Zelanda
